iter	Logloss
0	0.6893954872
1	0.685796021
2	0.6824713869
3	0.6790948769
4	0.6760482369
5	0.6730020111
6	0.6692628067
7	0.6663590484
8	0.6625349058
9	0.6597347102
10	0.6558678997
11	0.654129836
12	0.6517575806
13	0.6499445664
14	0.6470875793
15	0.6449892177
16	0.6437721848
17	0.6418376861
18	0.6397011463
19	0.6374944841
20	0.6356755208
21	0.6340654113
22	0.6311167302
23	0.6288157723
24	0.6271433674
25	0.6254143477
26	0.6238728427
27	0.621869701
28	0.6207695692
29	0.6189696083
30	0.616241051
31	0.6147002665
32	0.612985077
33	0.6109464494
34	0.6091771089
35	0.6083380039
36	0.6071153863
37	0.6056162175
38	0.6043940326
39	0.6034516433
40	0.60122188
41	0.5999090854
42	0.5987980119
43	0.5979932209
44	0.5972116488
45	0.595265175
46	0.5944953229
47	0.5936905721
48	0.591684618
49	0.5898573201
50	0.5886769931
51	0.5879638503
52	0.5862730956
53	0.5848120332
54	0.5840673725
55	0.581865635
56	0.5804781808
57	0.5791881667
58	0.5781002103
59	0.5770607065
60	0.5761006107
61	0.5755379404
62	0.5748076837
63	0.57407068
64	0.5735579358
65	0.57252622
66	0.5722070245
67	0.5715632056
68	0.5712331277
69	0.5707225713
70	0.5700674961
71	0.5689483653
72	0.5681270316
73	0.5669437087
74	0.5662814197
75	0.5657888053
76	0.5647487554
77	0.5639646955
78	0.5634350165
79	0.5622017547
80	0.5607333348
81	0.5595870019
82	0.5587766566
83	0.5580407817
84	0.5571985307
85	0.5567391809
86	0.5560103854
87	0.5551046404
88	0.554576522
89	0.5538939544
90	0.5520707621
91	0.5514993505
92	0.5508679024
93	0.5500563233
94	0.5492488802
95	0.5486580232
96	0.5478346295
97	0.5469008191
98	0.5465191587
99	0.5456030298
100	0.5449748295
101	0.5442608889
102	0.5438571606
103	0.5430924542
104	0.5425283132
105	0.5416360689
106	0.5408023838
107	0.5401689102
108	0.5392668399
109	0.538556087
110	0.5380851371
111	0.537312467
112	0.5367473455
113	0.536282356
114	0.535845644
115	0.5348234035
116	0.5343315221
117	0.5334298513
118	0.5327975026
119	0.5316344168
120	0.5311490649
121	0.5304807635
122	0.5301667448
123	0.5293584042
124	0.5288757588
125	0.5282381785
126	0.5276222341
127	0.5269990195
128	0.5265786545
129	0.5260813494
130	0.5256495404
131	0.5248699066
132	0.5244312233
133	0.5237696011
134	0.5232738531
135	0.5226356052
136	0.5222522408
137	0.5217733109
138	0.5212953586
139	0.5208666053
140	0.5203001743
141	0.5198510282
142	0.5191901599
143	0.51882719
144	0.5182707922
145	0.5172769001
146	0.5166253538
147	0.5159513286
148	0.5148547762
149	0.5140341287
150	0.5132014467
151	0.5123869562
152	0.5118725743
153	0.5113923151
154	0.5110423207
155	0.5106206485
156	0.5103039496
157	0.5093660578
158	0.5089604332
159	0.5085592518
160	0.5079170299
161	0.5063231456
162	0.5055798254
163	0.5051914968
164	0.5046723917
165	0.5040401323
166	0.5036887474
167	0.5032060198
168	0.5026265799
169	0.5021351822
170	0.5015331649
171	0.5011594616
172	0.500803154
173	0.5005066492
174	0.5001009208
175	0.4995676591
176	0.4983547098
177	0.4972821796
178	0.4968425418
179	0.4964169295
180	0.4957742976
181	0.4952638614
182	0.4947853644
183	0.4943756088
184	0.4940866692
185	0.4936575233
186	0.4924916058
187	0.4922461145
188	0.4919990329
189	0.4915305573
190	0.4909862413
191	0.4903544586
192	0.4899203119
193	0.4891280495
194	0.4888539973
195	0.4884250985
196	0.488081854
197	0.4876148334
198	0.4874222072
199	0.487015064
200	0.4866930201
201	0.4863278539
202	0.4860034483
203	0.4856445384
204	0.4852231881
205	0.4843510462
206	0.4838948073
207	0.4835516326
208	0.4830235731
209	0.4827343572
210	0.4822890335
211	0.4816636554
212	0.4814365002
213	0.4810037846
214	0.4802887788
215	0.4795374362
216	0.4794120677
217	0.4790580923
218	0.4787395791
219	0.4784581401
220	0.4781643083
221	0.4779553103
222	0.4776066478
223	0.4771612992
224	0.4766201669
225	0.4761220731
226	0.4756520776
227	0.4752958586
228	0.4748922961
229	0.4746330992
230	0.4743207945
231	0.4739710286
232	0.4734985229
233	0.4731593524
234	0.4728598274
235	0.4722903439
236	0.4720343268
237	0.4712466942
238	0.4708226799
239	0.4707074137
240	0.4700955143
241	0.4694601585
242	0.4691662133
243	0.4686023407
244	0.4681154852
245	0.4676793264
246	0.4672192883
247	0.466965589
248	0.4666887706
249	0.4664199207
250	0.4660722848
251	0.465576348
252	0.4651903229
253	0.4645558245
254	0.4644041627
255	0.4642873221
256	0.4637326178
257	0.4631299532
258	0.4625577421
259	0.4624387169
260	0.4622475541
261	0.4617611299
262	0.4612920411
263	0.4609160207
264	0.4603411696
265	0.4601530246
266	0.4597596701
267	0.4590927667
268	0.4588393792
269	0.4587515984
270	0.4584348987
271	0.4578198889
272	0.457360968
273	0.4566375925
274	0.4564310436
275	0.4559584723
276	0.4556627195
277	0.4553914974
278	0.4552275809
279	0.4546488961
280	0.4541588796
281	0.4538661978
282	0.453167514
283	0.4529222479
284	0.45275459
285	0.4522683778
286	0.4520131757
287	0.4517246719
288	0.4514961005
289	0.4512361473
290	0.4508719966
291	0.4505642362
292	0.4502258481
293	0.449944338
294	0.4496436951
295	0.4493309144
296	0.4489194166
297	0.448335697
298	0.4481469665
299	0.4478183215
300	0.4473850618
301	0.4471733565
302	0.446910499
303	0.4465762841
304	0.4460915534
305	0.4458538654
306	0.4457077739
307	0.4456087539
308	0.4449672581
309	0.4446826718
310	0.4445107686
311	0.4442358678
312	0.4439498948
313	0.4438265856
314	0.4433337244
315	0.4430737264
316	0.4426992882
317	0.4424511026
318	0.4420776865
319	0.4418212124
320	0.4417244724
321	0.4408998657
322	0.4404512462
323	0.4401572595
324	0.4399843151
325	0.4396907953
326	0.4392279199
327	0.4389300658
328	0.438695221
329	0.4382363844
330	0.437972064
331	0.4377833887
332	0.4374993865
333	0.4370916344
334	0.4368709966
335	0.4366328601
336	0.4364110589
337	0.4361924156
338	0.4360150184
339	0.4357933563
340	0.435626863
341	0.4352907083
342	0.4350938433
343	0.4346276497
344	0.434301863
345	0.4338304186
346	0.4336406401
347	0.4331468285
348	0.4327078633
349	0.4323298946
350	0.4320924813
351	0.4318015471
352	0.431504674
353	0.431384946
354	0.4312075141
355	0.4308644101
356	0.4304574523
357	0.4302388813
358	0.4297794532
359	0.4294372873
360	0.4292210998
361	0.4289932951
362	0.4289020064
363	0.4287202985
364	0.428497202
365	0.428317915
366	0.4279325939
367	0.4277531346
368	0.4275937606
369	0.4273309275
370	0.4271610246
371	0.426921956
372	0.4267728145
373	0.4263739356
374	0.4259203816
375	0.4257894111
376	0.4256197973
377	0.4253460278
378	0.425082836
379	0.4247206685
380	0.4245784609
381	0.4244506903
382	0.4243416389
383	0.4241126736
384	0.4239601695
385	0.4233803114
386	0.4231714362
387	0.422864473
388	0.4226230611
389	0.4224606169
390	0.4223119109
391	0.422193759
392	0.4219585904
393	0.4214588148
394	0.4212967997
395	0.4211065791
396	0.4209420294
397	0.420776843
398	0.4206214332
399	0.4204002938
400	0.4202184133
401	0.4198908872
402	0.4195725742
403	0.4194025916
404	0.4189892547
405	0.4187412658
406	0.4183292361
407	0.4181035952
408	0.4179157309
409	0.417734473
410	0.4176947649
411	0.417394353
412	0.4171722812
413	0.4168899298
414	0.4168243496
415	0.4167328619
416	0.4165112936
417	0.4162438428
418	0.4161263775
419	0.4157603949
420	0.4156790932
421	0.4154195207
422	0.4153066798
423	0.4151272926
424	0.4146699527
425	0.4143252587
426	0.4140331912
427	0.4137681848
428	0.4136700487
429	0.413352909
430	0.4131119806
431	0.4128804935
432	0.4125808837
433	0.4124732651
434	0.4123999628
435	0.412314079
436	0.4118586689
437	0.4115901326
438	0.4115210815
439	0.4112427107
440	0.4109223366
441	0.4108335149
442	0.4105119042
443	0.4102027098
444	0.4096582823
445	0.4094260923
446	0.4092507855
447	0.4088098318
448	0.4086639735
449	0.4085345107
450	0.4084655111
451	0.4079950336
452	0.4078076485
453	0.4075322601
454	0.4073784671
455	0.407151144
456	0.4070093675
457	0.4066119225
458	0.4063199464
459	0.4062263932
460	0.4061204263
461	0.4058685837
462	0.4057815593
463	0.4055802072
464	0.4054226496
465	0.4052098508
466	0.4051557501
467	0.4050557603
468	0.4050111648
469	0.4047322826
470	0.4045494625
471	0.4044345813
472	0.4040863986
473	0.4038727891
474	0.4036819368
475	0.4034823881
476	0.4033041341
477	0.4030103672
478	0.4026628842
479	0.4024499036
480	0.4023264429
481	0.4022448323
482	0.4021397157
483	0.4020166874
484	0.4018460499
485	0.4016685912
486	0.4014745438
487	0.4011713748
488	0.4010604519
489	0.4006486699
490	0.4004179846
491	0.4000630364
492	0.3994914521
493	0.3994204878
494	0.399222786
495	0.3990659389
496	0.3988588964
497	0.3987390275
498	0.3982145991
499	0.3980502453
