iter	Passed	Remaining
0	1	924
1	3	828
2	4	771
3	5	730
4	7	718
5	8	702
6	9	699
7	11	690
8	12	689
9	13	684
10	15	684
11	16	689
12	18	684
13	19	682
14	21	679
15	22	671
16	23	662
17	24	660
18	25	657
19	27	653
20	28	649
21	30	664
22	32	663
23	33	660
24	34	657
25	36	657
26	37	656
27	38	652
28	40	650
29	41	648
30	42	647
31	44	646
32	45	642
33	46	640
34	47	636
35	49	632
36	50	630
37	52	634
38	53	633
39	54	630
40	56	628
41	57	628
42	58	626
43	60	623
44	61	622
45	62	620
46	64	619
47	66	624
48	67	624
49	69	622
50	70	620
51	71	617
52	73	615
53	74	614
54	75	612
55	76	610
56	78	609
57	79	606
58	80	604
59	82	602
60	83	599
61	84	598
62	86	596
63	87	595
64	88	594
65	89	591
66	91	590
67	92	588
68	93	586
69	95	586
70	97	586
71	98	585
72	100	585
73	101	583
74	102	581
75	103	580
76	105	578
77	106	577
78	107	575
79	109	574
80	110	572
81	111	570
82	113	569
83	114	568
84	116	566
85	117	564
86	119	565
87	120	564
88	121	563
89	123	563
90	125	562
91	126	560
92	127	558
93	129	557
94	130	556
95	131	554
96	133	553
97	134	551
98	135	550
99	137	549
100	138	548
101	140	546
102	141	545
103	142	544
104	144	542
105	145	541
106	147	539
107	148	539
108	149	537
109	151	535
110	152	533
111	153	532
112	154	530
113	156	529
114	157	527
115	159	526
116	160	524
117	161	523
118	163	522
119	164	522
120	166	520
121	167	517
122	168	516
123	169	515
124	171	513
125	172	511
126	173	509
127	174	507
128	175	505
129	177	504
130	178	503
131	179	501
132	181	500
133	183	500
134	184	498
135	185	497
136	187	496
137	188	494
138	190	493
139	191	492
140	193	492
141	194	491
142	195	489
143	197	487
144	198	486
145	200	485
146	201	484
147	203	483
148	204	481
149	205	479
150	207	478
151	208	476
152	209	475
153	210	473
154	212	472
155	213	470
156	214	469
157	216	467
158	217	466
159	219	465
160	220	463
161	221	462
162	222	460
163	224	459
164	225	457
165	226	456
166	227	454
167	229	452
168	230	451
169	231	450
170	233	448
171	234	447
172	235	445
173	236	443
174	238	442
175	239	440
176	240	439
177	242	438
178	243	436
179	244	435
180	245	433
181	247	431
182	248	430
183	250	429
184	252	429
185	253	427
186	254	426
187	256	425
188	257	423
189	258	422
190	260	420
191	261	419
192	262	417
193	264	416
194	265	415
195	266	413
196	267	411
197	268	410
198	270	408
199	271	407
200	272	405
201	274	404
202	275	403
203	276	401
204	278	400
205	279	398
206	280	397
207	282	396
208	283	394
209	284	393
210	286	391
211	287	390
212	288	388
213	289	387
214	291	385
215	292	384
216	293	383
217	295	381
218	296	380
219	297	378
220	298	377
221	300	376
222	301	374
223	302	373
224	304	371
225	305	369
226	306	368
227	307	366
228	309	366
229	310	364
230	311	363
231	313	361
232	314	360
233	315	359
234	317	357
235	318	356
236	319	354
237	320	353
238	322	352
239	323	350
240	325	349
241	326	348
242	328	346
243	329	345
244	330	344
245	332	343
246	333	341
247	335	340
248	336	338
249	337	337
250	339	336
251	340	335
252	341	333
253	343	332
254	344	330
255	345	329
256	347	328
257	349	327
258	350	326
259	351	324
260	352	323
261	354	321
262	355	320
263	356	318
264	358	317
265	359	316
266	361	315
267	362	314
268	364	312
269	365	311
270	367	310
271	368	308
272	369	307
273	371	306
274	372	304
275	373	303
276	375	302
277	376	300
278	377	299
279	379	298
280	380	296
281	381	294
282	382	293
283	384	292
284	385	290
285	386	289
286	388	288
287	389	286
288	390	285
289	391	283
290	393	282
291	394	281
292	395	279
293	397	278
294	398	277
295	400	275
296	401	274
297	402	272
298	403	271
299	405	270
300	406	268
301	407	267
302	409	265
303	410	264
304	411	263
305	412	261
306	414	260
307	415	258
308	416	257
309	417	256
310	419	254
311	420	253
312	421	251
313	422	250
314	424	249
315	425	247
316	426	246
317	428	245
318	429	243
319	431	242
320	432	241
321	433	239
322	435	238
323	436	237
324	437	235
325	438	234
326	440	232
327	442	231
328	443	230
329	445	229
330	446	227
331	447	226
332	449	225
333	450	223
334	452	222
335	453	221
336	454	219
337	456	218
338	457	217
339	459	216
340	460	214
341	461	213
342	463	212
343	464	210
344	466	209
345	467	208
346	468	206
347	469	205
348	471	203
349	472	202
350	473	201
351	475	199
352	476	198
353	477	196
354	478	195
355	480	194
356	481	192
357	482	191
358	484	190
359	485	188
360	486	187
361	487	186
362	489	184
363	490	183
364	491	181
365	492	180
366	494	179
367	495	177
368	496	176
369	497	174
370	499	173
371	500	172
372	501	170
373	502	169
374	503	167
375	504	166
376	506	165
377	507	163
378	508	162
379	510	161
380	511	159
381	512	158
382	513	156
383	514	155
384	515	154
385	517	152
386	518	151
387	520	150
388	521	148
389	522	147
390	523	146
391	524	144
392	526	143
393	527	141
394	528	140
395	529	139
396	531	137
397	532	136
398	533	135
399	534	133
400	535	132
401	537	131
402	538	129
403	539	128
404	541	126
405	542	125
406	543	124
407	544	122
408	546	121
409	547	120
410	548	118
411	550	117
412	551	116
413	552	114
414	554	113
415	555	112
416	556	110
417	558	109
418	559	108
419	560	106
420	561	105
421	563	104
422	564	102
423	565	101
424	566	100
425	568	98
426	569	97
427	570	95
428	572	94
429	573	93
430	574	91
431	575	90
432	576	89
433	578	87
434	579	86
435	580	85
436	581	83
437	583	82
438	584	81
439	585	79
440	586	78
441	588	77
442	589	75
443	591	74
444	592	73
